"","bias","bias_mcse","MSE","MSE_mcse","empSE","empSE_mcse","modSE","modSE_mcse","coverage","coverage_mcse"
"X1",0.000511994047966028,0.00464324739696832,0.0430981951704219,0.0013884977759111,0.207652336319402,0.0032840928469884,0.209016885810403,0.000106382893524774,0.9535,0.00470838348055891
"X2",-0.00382423144593866,0.00475369664864448,0.0451872907689923,0.00144230026234279,0.21259177701564,0.00336221179400417,0.210734113566662,0.00011955024594935,0.9415,0.0052477495176504
"X3",-0.00132839751282366,0.00461076081268792,0.0424987360683173,0.00131086159821397,0.206199492103247,0.00326111561792065,0.205139635507172,8.98664164715168e-05,0.9445,0.00511955808639769
"X4",-0.00211539244262885,0.00452148187044754,0.0408716276964531,0.00134861647216063,0.202206816427072,0.00319797008408807,0.206734958556003,9.9783079178269e-05,0.9525,0.00475624589355933
"X5",-0.0077536771013834,0.0047003018689324,0.0442237019891122,0.00139323681260071,0.210203889874043,0.00332444654069601,0.210237078920935,0.000111574028607819,0.9495,0.00489641450451246
"X6",-0.00475487434120301,0.00470539496100276,0.0442819515663219,0.00142981957045417,0.210431659875743,0.00332804880131392,0.211771685396198,0.000125522066736259,0.9495,0.00489641450451246
"X7",0.00144226060328223,0.00463319259587988,0.0429135609030496,0.00132653246148831,0.207202671944723,0.00327698125083395,0.205578249149086,9.24248568565473e-05,0.9495,0.00489641450451246
"X8",-0.0120930740842033,0.00466583845341182,0.0436645693390055,0.00137619372135803,0.208662639077226,0.00330007113126428,0.207009915180641,0.000101740926903684,0.95,0.00487339717240448
"X9",0.0135915655898296,0.00466451933116104,0.043678454096142,0.00140443144689193,0.208603646136759,0.00329913813769799,0.212384565893101,0.000122238825795008,0.9545,0.00465992220965114
"X10",-0.00452822028866433,0.00457326611977639,0.0418291160205696,0.00130278336317249,0.204522678460334,0.00323459623562989,0.213939084060416,0.000136559038659792,0.9585,0.00445969449626317
"X11",-0.0101027121958474,0.00467609982512429,0.0438120180331923,0.00140035461684979,0.209121541571056,0.00330732883143834,0.206787199822427,9.91684446404981e-05,0.9515,0.00480352734977121
"X12",0.000276133500742284,0.00481518822928263,0.0463489655788707,0.00148420367493472,0.215341764102656,0.00340570378201575,0.208379679772659,0.000107625945853535,0.943,0.00518415856238985
